.й	sg,nom
.йёс|ысьтым|гес	pl,el,1sg,comp
.йёс|ысьтым|гем	pl,el,1sg,comp
.йёс|ысьтым	pl,el,1sg
.йёс|ысеным|гес	pl,egr,1sg,comp
.йёс|ысеным|гем	pl,egr,1sg,comp
.йёс|ысеным	pl,egr,1sg
.йёс|озям|гес	pl,term,1sg,comp
.йёс|озям|гем	pl,term,1sg,comp
.йёс|озям	pl,term,1sg
.йёс|этӥм|гес	pl,prol,1sg,comp
.йёс|этӥм|гем	pl,prol,1sg,comp
.йёс|этӥм	pl,prol,1sg
.йёс|ытӥм|гес	pl,prol,1sg,comp
.йёс|ытӥм|гем	pl,prol,1sg,comp
.йёс|ытӥм	pl,prol,1sg
.йёс|тӥм|гес	pl,prol,1sg,comp
.йёс|тӥм|гем	pl,prol,1sg,comp
.йёс|тӥм	pl,prol,1sg
.йёс|эд|гес	pl,nom,2sg,comp
.йёс|эд|гем	pl,nom,2sg,comp
.йёс|эд	pl,nom,2sg
.йёс|ыд|гес	pl,nom,2sg,comp
.йёс|ыд|гем	pl,nom,2sg,comp
.йёс|ыд	pl,nom,2sg
.йёс|эдлэн|гес	pl,gen,2sg,comp
.йёс|эдлэн|гем	pl,gen,2sg,comp
.йёс|эдлэн	pl,gen,2sg
.йёс|ыдлэн|гес	pl,gen,2sg,comp
.йёс|ыдлэн|гем	pl,gen,2sg,comp
.йёс|ыдлэн	pl,gen,2sg
.йёс|эдлэсь|гес	pl,abl,2sg,comp
.йёс|эдлэсь|гем	pl,abl,2sg,comp
.йёс|эдлэсь	pl,abl,2sg
.йёс|ыдлэсь|гес	pl,abl,2sg,comp
.йёс|ыдлэсь|гем	pl,abl,2sg,comp
.йёс|ыдлэсь	pl,abl,2sg
.йёс|эдлы|гес	pl,dat,2sg,comp
.йёс|эдлы|гем	pl,dat,2sg,comp
.йёс|эдлы	pl,dat,2sg
.йёс|ыдлы|гес	pl,dat,2sg,comp
.йёс|ыдлы|гем	pl,dat,2sg,comp
.йёс|ыдлы	pl,dat,2sg
.йёс|эдтэк|гес	pl,car,2sg,comp
.йёс|эдтэк|гем	pl,car,2sg,comp
.йёс|эдтэк	pl,car,2sg
.йёс|ыдтэк|гес	pl,car,2sg,comp
.йёс|ыдтэк|гем	pl,car,2sg,comp
.йёс|ыдтэк	pl,car,2sg
.йёс|эдъя|гес	pl,adv,2sg,comp
.йёс|эдъя|гем	pl,adv,2sg,comp
.йёс|эдъя	pl,adv,2sg
.йёс|ыдъя|гес	pl,adv,2sg,comp
.йёс|ыдъя|гем	pl,adv,2sg,comp
.йёс|ыдъя	pl,adv,2sg
.йёс|эдлань|гес	pl,app,2sg,comp
.йёс|эдлань|гем	pl,app,2sg,comp
.йёс|эдлань	pl,app,2sg
